text,author,title
BSAは元々そこで結成された組合である。,wikipedia,wikipedia
李沢民の地図は満洲南部に流れる遼河の少し先までしか描かれていなかったので、朝鮮半島全部と日本も加えた地図にした。,wikipedia,wikipedia
大半が住所表記上、大字に「水島」の名を冠している。,wikipedia,wikipedia
このシーズンは9試合に出場した。,wikipedia,wikipedia
これにより残り3局による「首都圏トライアングル」へと変わった。,wikipedia,wikipedia
湊川（みなとがわ）は日本相撲協会の年寄名跡のひとつで、初代・湊川が四股名として名乗っていたもので、その由来は定かではない。,wikipedia,wikipedia
アイヌ民族出身の参議院議員萱野茂をかこむ学者の会の中心となり、萱野茂・アイヌ文化講座の世話役を務めた。,wikipedia,wikipedia
あるスポークスマンはサイクロンで家を失った住民は再建のため250ルピー (55米ドル(1971年当時、2007年換算で279米ドル)）までの資金を受け取っているとしたが、物資が払底しているため生存者は「現金をそのまま齧る」羽目になるのではないかと恐れた。,wikipedia,wikipedia
普段は風の弱い甲府盆地周辺において、強い風が吹くのは台風と冬型気圧配置によるものが多い。,wikipedia,wikipedia
偶然、その噂を耳にしたレナは憤激した。,wikipedia,wikipedia
表現の可能性はハードウェアの制約から解放され、黄金期・発展期に見られた「ハードの制約と、それに対するアーティストの挑戦」から、ゲームの魅力を最大に引き出す名脇役としていかにプレイヤーの耳を楽しませるかという内容そのものの魅力で勝負する時代となってきている。,wikipedia,wikipedia
プロ野球の試合数については2000年以後140試合以上と増えたこと、また選抜大会も1997年に雨天中止が頻発したことなどから、プロ野球の日程に支障をきたすこともあるため、現在は何れも開幕時期を大幅に繰り上げている（選抜が概ね春分の日（3月20日か3月21日）前後、プロ野球は3月最終金曜日に制定されていることが多い。,wikipedia,wikipedia
原子物理学者のスタニスワフ・ウラムが「経済学の定理などはすべて自明のものだ」とサミュエルソンをからかったことがあった。,wikipedia,wikipedia
1979年には集英社から画集『吉川霊華画集』を出版し、市田はその執筆・編集にあたった。,wikipedia,wikipedia
全14話。,wikipedia,wikipedia
同年は2度目の社会人ベストナインに選出された。,wikipedia,wikipedia
なお、一覧の順序は全国地方公共団体コード順による。,wikipedia,wikipedia
」と語った大衆的政治家であったロイド・ジョージは、全面戦争という状況には国民世論の支持が不可欠と考えていたためである。,wikipedia,wikipedia
ハアブには閏年はなく、季節と月日は年々ずれていく。,wikipedia,wikipedia
通常は揶揄や皮肉の意味を込めて使われる。,wikipedia,wikipedia
1966年（昭和41年）3月、日本大学理工学部土木工学科卒業。,wikipedia,wikipedia
彼の菩提寺として中世を通して巡礼地となっていたセント・デイヴィッド大聖堂は、かつて彼がペンブロークシャーに建てた修道院の跡地に建てられた。,wikipedia,wikipedia
つまりエリザベスは、（アメリカ独立革命以後）聖公会の環境で育てられたのである。,wikipedia,wikipedia
『ライヴ・アンド・デンジャラス』（Live and Dangerous）は、アイルランド出身のハードロック・バンド、シン・リジィが1978年に発表したライヴ・アルバム。,wikipedia,wikipedia
海老名市立杉久保小学校（えびなしりつ すぎくぼしょうがっこう）は、神奈川県海老名市杉久保北にある市立小学校。,wikipedia,wikipedia
色彩設計者から色のデータをもらい、各話のシーンそれぞれの色を指定していくのがこの色指定という役職。,wikipedia,wikipedia
首都を中心とした王道に沿って102の病院（アーロギャーシャーラ）を建設し、主要な道路には16kmごとに宿駅が設置された。,wikipedia,wikipedia
ファシズムの立場からの階級協調の一時的な否定には、以下のものがある。,wikipedia,wikipedia
本級はイギリス海軍が1936年に締結した第二次ロンドン海軍軍縮条約に基いて竣工させた軽巡洋艦である。,wikipedia,wikipedia
