author,title,text
小林多喜二,小林多喜二/不在地主,「千回もやってくれ」
坂口安吾,坂口安吾/恋をしに行く（「女体」につゞく）,壁にぶつかり、又、もどつた。
坂口安吾,坂口安吾/街はふるさと,金で買ってくれッて。
宮本百合子,宮本百合子/大正十二年九月一日よりの東京・横浜間大震火災についての記録,もうその為電車はきかないので歩いてかえり始めると、警視庁の裏、青山の方、神田の方、もう一つ遠い方で火が見える。
浜尾四朗,浜尾四郎/殺人鬼/殺人鬼,「無論です」
西田幾多郎,西田幾多郎/絶対矛盾的自己同一,生命の矛盾は生命の成立する所にある。
岡本綺堂,岡本綺堂/半七捕物帳 22 筆屋の娘,部屋は六畳で、そこには二十二三の若僧と十五六の納所とが経を読んでいたが、半七のはいって来たのを見て、丸い頭を一度に振り向けた。
芥川龍之介,芥川龍之介/鼻,医師は責めて踏めと申したで。
楠山正雄,楠山正雄/家なき子 02 （下）,それはパリにいるの」
岡本綺堂,岡本綺堂/半七捕物帳 57 幽霊の観世物,この事実を眼のまえに見ていながら、彼等はそれを口外しなかったのは、自分たちの秘密露顕を恐れたからである。
ロラン,ロラン/ジャン・クリストフ 06 第四巻　反抗,そして彼も冗談に、恋をしていた。
宮本百合子,宮本百合子/播州平野,「駄目よ、縫子、やめなさい。
新美南吉,新美南吉/落とした一銭銅貨,それもそのはず、雪がどっさりふったのでありました。
吉川英治,吉川英治/宮本武蔵　04　火の巻　,佐々木小次郎殿
夏目漱石,夏目漱石/坑夫,小僧は飛んで来た。
牧野信一,牧野信一/渚,――男達は忽ち波の彼方に整列して、ワイワイと騒ぎながら見ごとな抜手を切つて進んでゐた。
樋口一葉,樋口一葉/大つごもり,何お峰が来たかと安兵衛が起上れば、女房は内職の仕立物に余念なかりし手をやめて、まあ／＼是れは珍らしいと手を取らぬばかりに喜ばれ、見れば六畳一間に一間の戸棚只一つ、箪笥長持はもとより有るべき家ならねど、見し長火鉢のかげも無く、今戸焼の四角なるを同じ形の箱に入れて、これがそも／＼此家の道具らしき物、聞けば米櫃も無きよし、さりとは悲しき成ゆき、師走の空に芝居みる人も有るをとお峰はまづ涙ぐまれて、まづ／＼風の寒きに寝てお出なされませ、と堅焼に似し薄蒲団を伯父の肩に着せて、さぞさぞ沢山の御苦労なさりましたろ、伯母様も何処やら痩せが見えまする、心配のあまり煩ふて下さりますな、夫でも日増しに快い方で御座んすか、手紙で様子は聞けど見ねば気にかゝりて、今日のお暇を待ちに待つて漸との事、何家などは何うでも宜ござります、伯父様御全快にならば表店に出るも訳なき事なれば、一日も早く快く成つて下され、伯父様に何ぞと存じたれど、道は遠し心は急く、車夫の足が何時より遅いやうに思はれて、御好物の飴屋が軒も見はぐりました、此金は少々なれど私が小遣の残り、麹町の御親類よりお客の有し時、その御隠居さま寸白のお起りなされてお苦しみの有しに、夜を徹してお腰をもみたれば、前垂でも買へとて下された、それや、これや、お家は堅けれど他処よりのお方が贔屓になされて、伯父さま喜んで下され、勤めにくゝも御座んせぬ、此巾着も半襟もみな頂き物、襟は質素なれば伯母さま懸けて下され、巾着は少し形を換へて三之助がお舗当の袋に丁度宜いやら、夫れでも学校へは行きますか、お清書が有らば姉にも見せてと夫れから夫れへ言ふ事長し。
小酒井不木,小酒井不木/呪われの家,「だが、犯罪者仲間だとすると、平岡の泣いたのが少しおかしいね」
高村光太郎,高村光太郎/回想録,岸田君は余りそんなことをしている中に胸を悪くし、鵠沼に引込んで仕事をしていたが、その頃から岸田君の仕事は本当の画になって来たように思う。
宮本百合子,宮本百合子/道づれ,店の土間には二つ腰かけがあった。
大杉栄,大杉栄/科学の不思議,千キログラムを千倍してもいゝよ。
夢野久作,夢野久作/ドグラ・マグラ,乞食まがいのケッタイ坊主が。
豊島与志雄,豊島与志雄/女心の強ければ,自分で気がついてみると、これは滑稽を通りこして浅間しかった。
ロラン,ロラン/ジャン・クリストフ 09 第七巻　家の中,彼らはいつも書物を買う。
戸坂潤,戸坂潤/日本イデオロギー論 ――現代日本に於ける日本主義・ファシズム・自由主義・思想の批判,幕末の国学運動から系統を引いているこのイデオロギーは、明治初年から二十年代にかけてまず第一に「欧化主義」に対する反対運動の形で著しく現われた。
林芙美子,林芙美子/秋果,もんはきゝづらい思ひだつた。
吉川英治,吉川英治/私本太平記/13　黒白帖　,「思い寄りはございませぬが、きょうの御法要の先を慕って、ここへ来てお待ちになっているからには、やはり生前、尊氏さまに、何か有縁のお方たちではありますまいか」
佐々木直次郎,佐々木直次郎/二都物語 01 上巻,「二階へ上らしてもらうとしよう。
小酒井不木,小酒井不木/謎の咬傷,「有難う御座いました。
吉川英治,吉川英治/宮本武蔵　07　二天の巻　,「――舞之允。
豊島与志雄,豊島与志雄/霊気,そして山に馴れぬ他国の旅客も、一度燕岳の肩から、眼前にアルプス連山を眺むるや否や、「あれが槍ヶ岳……白馬山はどれ……。
永井荷風,永井荷風/墨東綺譚,「そうか。
鈴木三重吉,鈴木三重吉/やどなし犬,その間に、またある一人が鉄の棒をもって来て、がちゃんがちゃんと馬車をたたきつけ、とうとうふたりで鉄ごうしをやぶってしまいました。
泉鏡花,泉鏡花/春昼,耶蘇教の信者の女房が、主キリストと抱かれて寝た夢を見たと言うのを聞いた時の心地と、回々教の魔神になぐさまれた夢を見たと言うのを聞いた時の心地とは、きっとそれは違いましょう。
吉川英治,吉川英治/折々の記　１,この帰趨は、やがて一方が、民衆のものとして、ふたつの大本願寺をなしとげる頃になり、五山は、人なき苔の庭と、林泉に蝉の啼く山をもつだけのものになり終つた。
古川緑波,古川緑波/下司味礼賛,例えば、だ。
海野十三,海野十三/怪星ガン,さあ、早くこい。
太宰治,太宰治/花燭,けれども、一時代のこの世の思潮が、この種の人たちを変に甘えさせて、不愉快なものにしてしまった。
葛西善蔵,葛西善蔵/遁走,それがいつか彼の口から出版屋の方へ伝わり、出版屋の方でも賛成ということで、葉書の印刷とか会場とかいうような事務の方を出版屋の方でやってくれることになったのだ。
岡本綺堂,岡本綺堂/心中浪華の春雨,お園はどう工面したか二両の金を餞別にくれた。
野村胡堂,野村胡堂/錢形平次捕物控121　土への愛著,「今のところ、松蔵が一番怪しいよ。
ユゴー,ヴィクトル・ユゴー/レ・ミゼラブル 04 第一部　ファンテーヌ,「ええ、四十フランになるのよ。
吉川英治,吉川英治/私本太平記/03　みなかみ帖　,前ノ黄門ノ侍郎資朝
吉川英治,吉川英治/黒田如水　,荒木勢とはいえ、あの村重の家臣とはいえ、ここまで籠城を堅持し、「城と共に」の義を捨てなかった者だけに、いわば粒選りの剛の者どもであった。
菊池寛,菊池寛/真珠夫人,その少女の名こそ、今申し上げたユーヂットなのでございます。
佐々木直次郎,佐々木直次郎/黒猫,私はその動物を避けた。
海野十三,海野十三/恐怖の口笛,「落付いて下さいよ、僕です。
豊島与志雄,豊島与志雄/ジャン・クリストフ 11 第九巻　燃ゆる荊,三、四列目あたりに潜んでいた人々は、石を投げ始めた。
坂口安吾,坂口安吾/九段,彼はことごとく驚いた。
岡本かの子,岡本かの子/食魔,伯母も身うちには薄倖の女で、良人には早く死に訣れ、四人ほどの子供もだんだん欠けて行き、末の子の婚期に入ったほどの娘が一人残って、塾の雑事を賄っていた。
有島武郎,有島武郎/生まれいずる悩み,驚いて窓から見るともう往来はまっ暗になっている。
北原白秋,北原白秋/水郷柳河,祭は町から町へ日を異にして準備される、さうして彼我の家庭を挙げて往来しては一夕の愉快なる団欒に美しい懇親の情を交すのである。
北原白秋,北原白秋/海豹と雲,こは愛し、
直木三十五,直木三十五/南国太平記,二人は、声がしたらしいと考えた場所へ近づくと、歩みを止めて、四方を眺めた。
岡本綺堂,岡本綺堂/半七捕物帳 34 雷獣と蛇,だんだんと東京近所も開けてくるせいでしょう。
北村透谷,北村透谷/処女の純潔を論ず （富山洞伏姫の一例の観察）,頭は正しく犬なりけり。
種田山頭火,種田山頭火/其中日記 14 （十三の続）,海、海、波、波、子供、子供、酒、酒、夢、夢！
夏目漱石,夏目漱石/坑夫,「ああ、乗るんだよ」
森鴎外,森鴎外/雁,こん度は歩き方が緩やかになって、折々籠を持ち上げては、中の鳥を覗いて見た。
三好十郎,三好十郎/妻恋行,一度橋の上に停つて時計を出して見て、それから陽を見て、ブツブツ呟いてから、待合の方へ。
坂口安吾,坂口安吾/安吾の新日本地理 09 秋田犬訪問記――秋田の巻――,「秋田犬です」
豊島与志雄,豊島与志雄/十一谷義三郎を語る,」としみじみ語っていて、丁度夕刻になったので、夫人と三人で後ろの坂を上っていって、海に没する夕陽を雲の切れ目に眺めかつ拝んだ。
柳宗悦,柳宗悦/手仕事の日本,それほどこの仕事は盛でありました。
泉鏡花,泉鏡花/山吹,……
戸坂潤,戸坂潤/思想と風俗,だからもしモラルを性的な本質のものだとすれば、汎セクシュアリズムともいうべきものになる（之は今日日本で流行っている）。
三遊亭円朝,三遊亭円朝/真景累ヶ淵,駕「ヘエ左様なら」
水野葉舟,水野葉舟/言文一致,だからこの二葉亭の言条を一種の反語として受取るのは間違ひである。
井上紅梅,井上紅梅/端午節,蓮花白は首尾よく手に入った。
豊島与志雄,豊島与志雄/レ・ミゼラブル 06 第三部　マリユス,それからまた、父に近づき父に似んとする唯一の方法は、敵に対して父が勇敢であったとおり自分も赤貧に対して勇壮であるということである。
小川未明,小川未明/海からきた使い,ある日のこと、町の人々は、海の上に、不思議な景色が見えるとうわさしました。
吉川英治,吉川英治/三国志　07　赤壁の巻　,見ると――
豊島与志雄,豊島与志雄/白塔の歌 ――近代伝説――,「昔の人は面白いことを考えたものだ。
ユゴー,ヴィクトル・ユゴー/レ・ミゼラブル 06 第三部　マリユス,でパトロン・ミネットの重なる手下がいかなる呼び名を持っていたかを次にあげてみよう。
楠山正雄,楠山正雄/ジャックと豆の木,ぼく、もうくたびれて、ひと足もあるけないんです。
豊島与志雄,豊島与志雄/食慾,私立大学の先生で、歴史や文化や語学の勉強……それも仕事にはちがいありませんけれど……この点については、私は、野口に近い考えを持っております。
大倉燁子,大倉燁子/妖影,私ですよ』
田中貢太郎,田中貢太郎/太虚司法伝,「今晩のうちに、あいつを取らないと、俺達がひどい目に逢わされる」
島崎藤村,島崎藤村/若菜集,花に隠るゝありさまに
田山花袋,田山花袋/ある僧の奇蹟,その話を聞いた時には、そこに集つた人達は皆な不思議な思ひに打たれた。
直木三十五,直木三十五/南国太平記,一人が
泉鏡花,泉鏡花/政談十二社,お米も嬉しそうに傍についていてくれますなり、私はまるで貴方、嫁にやった先の姑に里の親が優しくされますような気で、ほくほくものでおりました。
太宰治,太宰治/愛と美について,博士は、花屋へ、たいへんな決意を以て突入して、それから、まごつき、まごつき、大汗かいて、それでも、薔薇の大輪、三本買いました。
岸田国士,岸田国士/道遠からん　四幕 ――または　海女の女王はかうして選ばれた――,リキまた余計なことを……お前さんは、シゲさんに付き合つてもらつて、しばらく家で留守をしてなよ。
島崎藤村,島崎藤村/破戒,土屋君、左様だつたねえ。
三木清,三木清/哲学入門,言い換えると、我々の行為は単に我々自身から出るものでなく、同時に環境から出るものである、単に能動的なものでなく、同時に受動的なものである、単に主観的なものでなく、同時に客観的なものである。
